where is the security code on my credit card,High
my billing info is wrong,High
why was I charged that much,High
"oops I made the wrong order quantity, can I update it?",High
is it too late to update my shipping address,High
"I misspelled the location, can you help me update this?",High
"shoot, I messed my last order up, can you help me edit it?",High
I need to fix a mistake on my latest order,High
help! I need to edit my purchase from 5 minutes ago,High
I need to cancel my order,High
No Hot Water,High
Heating Side Not Working Fine,High
Boiler STOPPED WORKING,High
problem with the boiler,High
endure the disturbing sounds,High
"very disappointed with boiler, its noisey",High
broke down three times,High
boiler produce a abnormal noice,High
fixed repair,High
problem was the heat exchanger,High
I have a bad gas leak,High
no hot water or heating,High
confirmed gas leak ,High
leak stopped when the boiler was isolated,High
It broke down 2 times,High
boiler has not been serviced,High
failed burner seal which is a non replaceable element,High
changed the filter,High
boiler onto heating and the kitchen filled with smoke,High
sending an engineer out next day,High
engineer to fix,High
heater exchange is leaking,High
our tenant as no heat and no hot water,High
heat exchanges leaking divertor valve leaks,High
the hot water has stopped working,High
the touch controller didn’t work and an engineer had to come out to replace it,High
we are still without heating and hot water.,High
can’t tolerate this Ideal Touch thermostat anymore,High
the Bluetooth thermostat replaced 3 times,High
They always loose connection and ultimately cut the heating off,High
thermostat with a non Bluetooth basic model,High
boiler then came up with a fault,High
It broke down in October due to a faulty pump,High
Possible Heat Exchanger Failure  ,High
I need to change my billing and shipping info?,Low
make an account change,Low
"I need to update my account, can you help?",Low
how can I change my account details,Low
user profile update,Low
can you change my profile to a new address,Low
can you change my profile to have my latest address,Low
"my billing address is same as shipping, please update",Low
how do I update account settings,Low
Can I change my credit card,Low
I see two charges on my account,Low
why did my order get denied,Low
can you help me update my billing information,Low
my billing info is out of date,Low
can you tell me the cost of the item I purchased,Low
how can I switch billing preferences,Low
how do I change payment options,Low
Will I be charged tax on the order?,Low
can I reset my password,Low
I forgot my credentials,Low
my account is locked,Low
my password is locked?,Low
can I change privacy settings,Low
track order,Low
i'd like to check the status of my order?,Low
i want to know if my order has shipped,Low
when will it come by?,Low
do you know if my package shipped,Low
has my order been fulfilled,Low
when can I see the order status for my purchase?,Low
what is my shipping status?,Low
do you have my tracking # handy?,Low
when should I receive my items by,Low
can I check on the latest location of my order?,Low
can I get an update on my order status?,Low
Do you do overnight shipping on all orders,Low
what is the timeline to receive my order?,Low
what is the shipping method,Low
Has my order been sent?,Low
Was my order delivered?,Low
can I change a pending order,Low
where can I see my pending purchases,Low
"if it is still not processed and shipped, how can I make a change",Low
how much did you charge me,Medium
where do I update my account information for payments,Medium
How can I set up a corporate account?,Medium
i forgot my password,Medium
i want to reset my password,Medium
i cant remember my login,Medium
My password doesn't work,Medium
can't login,Medium
unable to login,Medium
where do I got to find my password,Medium
I can't login,Medium
do you have a way to reset my PW remotely?,Medium
I cant figure out my user name /passoword combo,Medium
I hit the limits on my password,Medium
I cant sing in?,Medium
i forgot my username,Medium
can you help me reset my password,Medium
i can't remember my login,Medium
login problems,Medium
login not working for me,Medium
when will my order arrive?,Medium
I'm still waiting for my package,Medium
i'd like to track my package,Medium
my package hasn't arrive,Medium
"my shoes haven't arrived, where are they?",Medium
"my order says in progress, what does that mean?",Medium
is there a expected delivery date for my latest order,Medium
Should I receive my shoes by this Tuesday?,Medium
I need my order to come by Thursday is that possible,Medium
who is the shipper of my products? I can't find the tracking info,Medium
is my order still pending,Medium
"I just bought online but need to change quanity, can you help",Medium
do you know if my order is fulfilled yet? I want to make a change,Medium
I'd like to change the credit card on my last purchase,Medium
"my order hasn't shipped, can I make an order change?",Medium
I need to edit a purchase,Medium
what is the best way to quickly make a change on an existing purchase,Medium
"my order is still pending, can I change my address",Medium
"my purchase hasn't shipped, can I update my address?",Medium
"You haven't shipped my order, can I add to it?",Medium
"if you have a second, can you change something on my recent purchase?",Medium
I want to remove an item from my order,Medium
Can I change the shipping address on this order? I'll be out of town when it arrives,Medium
I want to add something to my order,Medium
